접수일자,제작사,차명,모델년도
2022-12-16,기아주식회사,레이 전기차,2014
2022-12-16,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-16,현대자동차(주),G80,2018
2022-12-15,M0,싼타페,2000
2022-12-16,스텔란티스코리아주식회사,짚 체로키 2.4,2019
2022-12-16,현대자동차(주),제네시스(GENESIS),2014
2022-12-16,현대자동차(주),G80,2018
2022-12-16,메르세데스벤츠코리아(주),Mercedes-Benz GLE350 e 4MATIC,2022
2022-12-15,비엠더블유코리아(주),BMW 525d xDrive,2012
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI Blue Motion,2015
2022-12-16,현대자동차(주),아반떼(AVANTE),2021
2022-12-16,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI Blue Motion,2015
2022-12-16,기아주식회사,카니발,2019
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,기아주식회사,쏘렌토,2017
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-16,기아주식회사,셀토스,2020
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,현대자동차(주),G70,2018
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,쌍용자동차(주),토레스,2023
2022-12-16,현대자동차(주),제네시스(GENESIS),2015
2022-12-15,폭스바겐그룹코리아 주식회사,A6 40 TDI,2020
2022-12-30,현대자동차(주),스타리아 특수구급차(STARIA),2022
2022-12-15,쌍용자동차(주),토레스,2023
2022-12-14,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2018
2022-12-15,한국지엠(주),올란도 2.0 LPG,2012
2022-12-15,주식회사 이브이케이엠씨,MASADA 픽업,2022
2022-12-15,쌍용자동차(주),토레스,2023
2022-12-15,쌍용자동차(주),토레스,2023
2022-12-15,쌍용자동차(주),토레스,2023
2022-12-15,한국지엠(주),올란도 2.0 LPG,2014
2022-12-15,쌍용자동차(주),토레스,2023
2022-12-15,메르세데스벤츠코리아(주),E300 4Matic,2019
2022-12-15,현대자동차(주),코나 일렉트릭 (KONA ELECTRIC),2019
2022-12-15,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-15,쌍용자동차(주),토레스,2023
2022-12-15,현대자동차(주),아반떼(AVANTE),2021
2022-12-15,기아주식회사,K8,2023
2022-12-15,쌍용자동차(주),토레스,2023
2022-12-15,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-15,쌍용자동차(주),토레스,2023
2022-12-19,10017032,D2,2018
2022-12-15,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-15,기아주식회사,K5,2011
2022-12-14,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-14,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-14,폭스바겐그룹코리아 주식회사,A6 40 TDI,2021
2022-12-14,기아주식회사,스팅어,2018
2022-12-13,메르세데스벤츠코리아(주),Mercedes-Benz GLA250 4MATIC,2020
2022-12-14,폭스바겐그룹코리아 주식회사,Passat 2.0 TSI,2018
2022-12-14,메르세데스벤츠코리아(주),C200,2015
2022-12-14,한국지엠(주),올란도 2.0 LPG,2012
2022-12-14,비엠더블유코리아(주),BMW 740d xDrive,2013
2022-12-14,메르세데스벤츠코리아(주),E300 4Matic,2019
2022-12-14,메르세데스벤츠코리아(주),E300 4Matic,2019
2022-12-14,메르세데스벤츠코리아(주),C200,2017
2022-12-15,르노코리아자동차 주식회사,QM6,2017
2022-12-14,메르세데스벤츠코리아(주),GLK220 CDI 4Matic,2013
2022-12-29,한국토요타자동차(주),렉서스 ES300h,2023
2022-12-14,쌍용자동차(주),토레스,2023
2022-12-14,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-14,한국지엠(주),올란도 2.0 LPG,2015
2022-12-14,폭스바겐그룹코리아 주식회사,Jetta 1.6 TDI Blue Motion,2013
2022-12-14,기아주식회사,K7,2016
2022-12-14,르노코리아자동차 주식회사,QM3,2018
2022-12-14,현대자동차(주),그랜저(GRANDEUR),2019
2022-12-13,기아주식회사,K7,2016
2022-12-13,한불모터스(주),Peugeot 308SW 1.6 Blue-HDi,2017
2022-12-13,한국지엠(주),올란도 2.0 LPG,2015
2022-12-12,스텔란티스코리아주식회사,Peugeot New 308 1.5 BlueHDi,2022
2022-12-13,르노코리아자동차 주식회사,SM5 D,2014
2022-12-13,한국지엠(주),올란도 2.0 LPG,2016
2022-12-13,한국지엠(주),올란도 2.0 LPG,2015
2022-12-13,한국지엠(주),말리부 2.0 DOHC,2013
2022-12-29,비엠더블유코리아(주),BMW X5 xDrive40i,2023
2022-12-14,한국지엠(주),올란도 2.0 LPG,2015
2022-12-12,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022
2022-12-13,르노코리아자동차 주식회사,QM6,2017
2022-12-12,한국지엠(주),올란도 1.6 디젤,2016
2022-12-13,한불모터스(주),Peugeot 3008 1.6 BlueHDi,2018
2022-12-13,한불모터스(주),Peugeot 3008 1.6 Blue-HDi,2016
2022-12-13,쌍용자동차(주),토레스,2023
2022-12-12,현대자동차(주),캐스퍼(CASPER),2023
2022-12-12,쌍용자동차(주),토레스,2023
2022-12-13,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022
2022-12-12,한국지엠(주),올란도 2.0 LPG,2014
2022-12-12,(주)볼보자동차코리아,볼보 S60T5,2020
2022-12-12,현대자동차(주),그랜저(GRANDEUR),2015
2022-12-12,스텔란티스코리아주식회사,짚그랜드체로키,2021
2022-12-12,스텔란티스코리아주식회사,짚그랜드체로키,2021
2022-12-12,한국지엠(주),올란도 2.0 LPG,2015
2022-12-12,한국지엠(주),올란도 2.0 LPG,2017
2022-12-12,메르세데스벤츠코리아(주),Mercedes-Benz GLB250 4MATIC,2021
2022-12-12,한국지엠(주),올란도 2.0 LPG,2012
2022-12-12,현대자동차(주),아반떼(AVANTE),2021
2022-12-12,한국지엠(주),올란도 2.0 LPG,2013
2022-12-12,기아주식회사,니로 하이브리드,2022
2022-12-12,한국지엠(주),올란도 2.0 LPG,2015
2022-12-12,현대자동차(주),아반떼(AVANTE),2021
2022-12-12,한불모터스(주),Peugeot 3008 1.6 BlueHDi,2018
2022-12-12,한불모터스(주),Peugeot 3008 1.6 BlueHDi,2018
2022-12-12,르노코리아자동차 주식회사,SM6,2016
2022-12-12,(주)재규어랜드로버코리아,디스커버리 SD4,2018
2022-12-09,한국지엠(주),올란도 2.0 LPG,2012
2022-12-09,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-13,기아주식회사,니로 하이브리드,2022
2022-12-12,한국지엠(주),올란도 2.0 LPG,2012
2022-12-09,한국지엠(주),스파크 1.0 DOHC LPG,2014
2022-12-12,르노코리아자동차 주식회사,QM6,2020
2022-12-09,기아주식회사,스팅어,2020
2022-12-12,테슬라코리아 유한회사,Model Y Standard Range,2021
2022-12-12,테슬라코리아 유한회사,Model Y Standard Range,2021
2022-12-12,현대자동차(주),아반떼(AVANTE),2021
2022-12-12,쌍용자동차(주),토레스,2023
2022-12-09,테슬라코리아 유한회사,Model Y Long Range,2022
2022-12-12,쌍용자동차(주),토레스,2023
2022-12-12,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-12,쌍용자동차(주),토레스,2023
2022-12-12,기아주식회사,K7,2017
2022-12-12,르노코리아자동차 주식회사,QM6,2018
2022-12-09,기아주식회사,셀토스,2023
2022-12-09,한국닛산(주),X-Trail 4WD,2018
2022-12-09,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-09,한국지엠(주),올란도 2.0 LPG,2016
2022-12-08,(주)재규어랜드로버코리아,재규어 F-PACE 20d,2017
2022-12-09,기아주식회사,스팅어,2018
2022-12-09,한국지엠(주),트랙스 1.4,2018
2022-12-09,(주)재규어랜드로버코리아,재규어 F-PACE 20d AWD,2019
2022-12-09,기아주식회사,스팅어,2018
2022-12-09,한국지엠(주),말리부 1.8 HYBRID,2017
2022-12-09,(주)재규어랜드로버코리아,재규어 XF 20d,2017
2022-12-09,(주)재규어랜드로버코리아,디스커버리 TD6,2019
2022-12-09,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-12-09,한국지엠(주),올란도 2.0 LPG,2012
2022-12-09,현대자동차(주),G80,2018
2022-12-08,쌍용자동차(주),토레스,2023
2022-12-08,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-12-08,기아주식회사,K7,2017
2022-12-07,한국지엠(주),스파크 1.0,2022
2022-12-08,한국지엠(주),올란도 2.0 LPG,2015
2022-12-08,기아주식회사,K7,2017
2022-12-08,현대자동차(주),쏘나타(SONATA),2017
2022-12-08,현대자동차(주),그랜저(GRANDEUR),2019
2022-12-07,비엠더블유코리아(주),BMW 640d xDrive Gran Coupe,2013
2022-12-08,한국지엠(주),올란도 2.0 LPG,2015
2022-12-08,현대자동차(주),그랜저(GRANDEUR),2014
2022-12-08,메르세데스벤츠코리아(주),E350 4Matic,2014
2022-12-08,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-08,현대자동차(주),G70,2018
2022-12-07,비엠더블유코리아(주),BMW 745e iPerformance,2022
2022-12-30,현대자동차(주),포터Ⅱ파워게이트 (PORTER Ⅱ),2023
2022-12-08,기아주식회사,K8 하이브리드,2022
2022-12-08,현대자동차(주),EQ900,2016
2022-12-08,포드세일즈서비스코리아(유),Explorer 2.3 AWD,2017
2022-12-08,기아주식회사,K7,2016
2022-12-08,현대자동차(주),스타리아 (STARIA),2022
2022-12-08,한국지엠(주),올란도 2.0 LPG,2014
2022-12-08,현대자동차(주),아반떼(AVANTE),2021
2022-12-08,기아주식회사,쏘렌토,2016
2022-12-08,현대자동차(주),쏘나타(SONATA),2015
2022-12-07,현대자동차(주),제네시스(GENESIS),2014
2022-12-07,한불모터스(주),Citroen Grand C4 Picasso 2.0 BlueHDi,2019
2022-12-07,현대자동차(주),제네시스(GENESIS),2014
2022-12-07,기아주식회사,쏘렌토 하이브리드,2023
2022-12-07,쌍용자동차(주),토레스,2023
2022-12-08,쌍용자동차(주),토레스,2023
2022-12-07,쌍용자동차(주),토레스,2023
2022-12-07,기아주식회사,셀토스,2023
2022-12-07,(주)재규어랜드로버코리아,디스커버리 TD6,2018
2022-12-07,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-07,쌍용자동차(주),토레스,2023
2022-12-06,폭스바겐그룹코리아 주식회사,SQ5 3.0 TDI quattro,2014
2022-12-07,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-07,한국지엠(주),올란도 2.0 LPG,2014
2022-12-06,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-07,한국지엠(주),말리부 1.35 TURBO,2020
2022-12-07,르노코리아자동차 주식회사,SM6,2016
2022-12-07,쌍용자동차(주),토레스,2023
2022-12-07,현대자동차(주),GV80,2022
2022-12-07,쌍용자동차(주),토레스,2023
2022-12-07,현대자동차(주),쏘나타 (SONATA),2010
2022-12-07,쌍용자동차(주),토레스,2023
